Sep 20 2014 16:00:00,Childwall Academy,Cheshire Wire Green,Fernhill SC
Sep 27 2014 14:40:00,Cheshire Wire Green,Stockport Falcons,Warrington Ball Hall
Oct 11 2014 16:00:00,Cheshire Wire Green,Oldham Titans,Priestley College
Oct 18 2014 13:00:00,Manchester Magic I,Cheshire Wire Green,Amaechi Basketball Centre
Oct 26 2014 12:15:00,Oldham Titans II,Cheshire Wire Green,Oldham Sixth Form College
Nov 1 2014 14:40:00,Cheshire Wire Green,Rossendale Raptors,Warrington Ball Hall
Nov 8 2014 12:30:00,Sheffield Junior Saints,Cheshire Wire Green,All Saints RC High Sch
Nov 15 2014 12:20:00,Cheshire Panthers,Cheshire Wire Green,Stanney Oaks Leisure Centre
Nov 22 2014 14:40:00,Cheshire Wire Green,Cheshire Wire White,Warrington Ball Hall
Nov 29 2014 15:30:00,Manchester Magic II,Cheshire Wire Green,Amaechi Basketball Centre
Dec 13 2014 14:40:00,Cheshire Wire Green,Childwall Academy,Warrington Ball Hall
Dec 14 2014 14:15:00,Oldham Titans,Cheshire Wire Green,Oldham Sixth Form College
Dec 20 2014 14:00:00,Stockport Falcons,Cheshire Wire Green,Wright Robinson Sports College
Jan 24 2015 14:40:00,Cheshire Wire Green,Manchester Magic I,Warrington Ball Hall
Jan 31 2015 14:40:00,Cheshire Wire Green,Oldham Titans II,Warrington Ball Hall
Feb 8 2015 13:00:00,Rossendale Raptors,Cheshire Wire Green,Haslingden Sports Centre
Feb 14 2015 14:40:00,Cheshire Wire Green,Sheffield Junior Saints,Warrington Ball Hall
Feb 21 2015 16:00:00,Cheshire Wire Green,Cheshire Panthers,Priestley College
Feb 22 2015 12:45:00,Cheshire Wire White,Cheshire Wire Green,Culcheth High School Community Campus
Feb 28 2015 14:40:00,Cheshire Wire Green,Manchester Magic II,Warrington Ball Hall
