Oct 12 2014 15:20:00,City Of Birmingham,Cheshire Wire,Dame Elizabeth Cadbury Technology College
Oct 18 2014 16:00:00,Cheshire Wire,Manchester Magic,Priestley College
Oct 25 2014 13:30:00,Northamptonshire Titans,Cheshire Wire,Weavers LC
Nov 1 2014 12:00:00,Cheshire Wire,Trafford,Priestley College
Nov 8 2014 14:30:00,Leeds Force,Cheshire Wire,Leeds Met Uni Sports Centre
Nov 15 2014 14:00:00,Cheshire Wire,Team Birmingham,Priestley College
Nov 29 2014 16:00:00,Sheffield Junior Saints,Cheshire Wire,All Saints RC High Sch
Dec 13 2014 13:00:00,Toxteth Tigers,Cheshire Wire,Toxteth Firefit Hub
Dec 20 2014 14:00:00,Cheshire Wire,Bradford College Dragons,Priestley College
Jan 17 2015 16:30:00,Cheshire Wire,City Of Birmingham,Warrington Sport For All Centre
Jan 25 2015 12:30:00,Manchester Magic,Cheshire Wire,Amaechi Basketball Centre
Jan 31 2015 14:00:00,Cheshire Wire,Northamptonshire Titans,Priestley College
Feb 8 2015 12:30:00,Trafford,Cheshire Wire,Amaechi Basketball Centre
Feb 14 2015 14:00:00,Cheshire Wire,Leeds Force,Priestley College
Feb 21 2015 12:30:00,Team Birmingham,Cheshire Wire,The Factory
Feb 22 2015 12:00:00,Cheshire Wire,Notts Nova,Priestley College
Feb 28 2015 14:00:00,Cheshire Wire,Sheffield Junior Saints,Priestley College
Mar 8 2015 14:00:00,Bradford College Dragons,Cheshire Wire,Buttershaw Business & Enterprise College
Mar 14 2015 14:00:00,Cheshire Wire,Toxteth Tigers,Priestley College
Mar 22 2015 14:00:00,Notts Nova,Cheshire Wire,Trinity School (Upper School)
