Oct 4 2014 12:00:00,Cheshire Wire II,Sefton Stars,Priestley College
Oct 11 2014 18:00:00,Stockport Falcons I,Cheshire Wire II,Stockport Sport for all Centre
Nov 1 2014 14:00:00,Cheshire Wire II,Prestons College,Priestley College
Nov 8 2014 14:15:00,Oldham Titans,Cheshire Wire II,Oldham Sixth Form College
Nov 16 2014 16:00:00,Cheshire Wire II,Bury Blue Devils,Hawthorns Sports Centre
Dec 6 2014 14:00:00,Cheshire Wire II,Liverpool,Priestley College
Dec 14 2014 14:15:00,Myerscough College,Cheshire Wire II,Myerscough College
Jan 10 2015 14:00:00,Cheshire Wire II,Preston Pride I,Priestley College
Jan 17 2015 14:40:00,Cheshire Wire II,Stockport Falcons I,Warrington Sport For All Centre
Jan 24 2015 12:00:00,Bury Blue Devils,Cheshire Wire II,Holy Cross Sixth Form College
Feb 1 2015 13:00:00,Prestons College,Cheshire Wire II,Prestons College Sports Centre
Feb 7 2015 14:00:00,Cheshire Wire II,Oldham Titans,Priestley College
Feb 15 2015 12:00:00,Sefton Stars,Cheshire Wire II,Hawthorns SC
Feb 28 2015 12:30:00,Liverpool,Cheshire Wire II,Archbishop Beck Tennis Centre
Mar 7 2015 14:00:00,Cheshire Wire II,Myerscough College,Priestley College
Mar 15 2015 16:00:00,Preston Pride I,Cheshire Wire II,St Augustines New Avenham Centre
