Sep 27 2014 14:30:00,Killamarsh Derbyshire Arrows,Cheshire Wire,Killamarsh SC,OT Result
Oct 12 2014 16:30:00,Northamptonshire Titans,Cheshire Wire,Weavers LC,Result
Oct 18 2014 14:00:00,Cheshire Wire,Trafford,Priestley College,Result
Nov 1 2014  16:00:00,Cheshire Wire,Team Birmingham,Priestley College,Result
Nov 8 2014 12:00:00,Derby Trailblazers,Cheshire Wire,Noel Baker Sch,Result
Nov 15 2014 16:00:00,Cheshire Wire,Leicester Warriors,Priestley College,Result
Nov 29 2014 13:00:00,Manchester Magic,Cheshire Wire,Amaechi Basketball Centre,Result
Dec 6 2014 16:00:00,Cheshire Wire,Newcastle Eagles,Priestley College,Result
Dec 13 2014 16:00:00,Cheshire Wire,Sporting Club Albion (West Bromwich),Priestley College,Result
Dec 20 2014 14:00:00,Cheshire Wire,Killamarsh Derbyshire Arrows,Priestley College,Result
Jan 10 2015 14:00:00,Doncaster Danum Eagles,Cheshire Wire,Danum Academy Lower School,Result
Jan 17 2015 12:00:00,Cheshire Wire,Northamptonshire Titans,Sefton Sixth Form College,Result
Jan 18 2015 12:45:00,Cheshire Wire,Doncaster Danum Eagles,Culcheth High School Community Campus,Result
Jan 25 2015 15:00:00,Trafford,Cheshire Wire,Amaechi Basketball Centre,
Jan 31 2015 16:00:00,Cheshire Wire,Sheffield Junior Sharks,Priestley College,
Feb 1 2015 12:00:00,Sheffield Junior Sharks,Cheshire Wire,EIS Sheffield,Details
Feb 8 2015 16:30:00,Team Birmingham,Cheshire Wire,Doug Ellis Sports Centre,Details
Feb 14 2015 16:00:00,Cheshire Wire,Derby Trailblazers,Priestley College,
Feb 21 2015 16:00:00,Leicester Warriors,Cheshire Wire,Gateway College,
Feb 28 2015 16:00:00,Cheshire Wire,Manchester Magic,Priestley College,
Mar 7 2015 14:30:00,Newcastle Eagles,Cheshire Wire,Centre for Sport,Details
Mar 14 2015 15:30:00,Sporting Club Albion (West Bromwich),Cheshire Wire,Sandwell Academy,
