Manchester Magic,14,0,0,1,1535,449,1086,42
Oldham Titans,12,3,0,0.8,1266,694,572,39
Childwall Academy,10,5,0,0.667,968,828,140,35
Sheffield Junior Saints,10,3,0,0.769,916,731,185,33
Stockport Falcons,9,5,0,0.643,1102,844,258,32
Cheshire Panthers,7,6,0,0.538,820,900,-80,27
Manchester Magic II,5,10,0,0.333,766,1075,-309,25
Rossendale Raptors,4,10,0,0.286,714,969,-255,22
Cheshire Wire White,4,9,0,0.308,701,884,-183,21
Oldham Titans II,1,12,0,0.077,425,1182,-757,15
Cheshire Wire Green,0,13,0,0,400,1057,-657,13
