Manchester Magic,11,1,0,0.917,1064,719,345,34
Doncaster Danum Eagles,10,2,0,0.833,1094,923,171,32
Derby Trailblazers,9,2,0,0.818,930,722,208,29
Killamarsh Derbyshire Arrows,7,7,0,0.5,1084,1075,9,28
Sheffield Junior Sharks,8,3,0,0.727,878,818,60,27
Cheshire Wire,7,6,0,0.538,934,959,-25,27
Team Birmingham,7,2,0,0.778,816,520,296,23
Sporting Club Albion (West Bromwich),5,8,0,0.385,815,999,-184,23
Newcastle Eagles,4,9,0,0.308,923,965,-42,21
Northamptonshire Titans,4,8,0,0.333,752,882,-130,19
Trafford,0,13,0,0,769,1160,-391,13
Leicester Warriors,0,11,0,0,749,1066,-317,11
